iter	Passed	Remaining
0	143	143223
1	145	72777
2	147	49038
3	149	37122
4	150	29991
5	152	25294
6	153	21821
7	155	19290
8	157	17294
9	158	15688
10	159	14340
11	160	13220
12	161	12281
13	162	11474
14	163	10763
15	164	10145
16	166	9611
17	167	9133
18	168	8694
19	169	8300
20	171	7974
21	172	7648
22	173	7354
23	174	7077
24	175	6831
25	176	6595
26	176	6371
27	177	6167
28	178	5977
29	179	5794
30	180	5627
31	180	5470
32	181	5321
33	182	5182
34	183	5051
35	184	4928
36	185	4820
37	186	4716
38	187	4615
39	188	4525
40	189	4437
41	190	4346
42	191	4257
43	192	4188
44	193	4109
45	194	4035
46	195	3962
47	196	3890
48	196	3822
49	197	3757
50	199	3718
51	201	3672
52	202	3615
53	203	3562
54	204	3510
55	205	3458
56	205	3406
57	206	3355
58	207	3306
59	208	3259
60	208	3214
61	209	3170
62	210	3126
63	210	3084
64	212	3053
65	212	3013
66	213	2975
67	214	2940
68	215	2911
69	216	2880
70	218	2860
71	219	2828
72	220	2794
73	220	2763
74	221	2734
75	222	2705
76	223	2676
77	224	2647
78	224	2622
79	225	2595
80	226	2569
81	227	2545
82	227	2517
83	228	2493
84	229	2471
85	230	2449
86	231	2427
87	232	2406
88	233	2385
89	233	2365
90	234	2344
91	235	2327
92	236	2307
93	237	2293
94	238	2274
95	239	2255
96	240	2238
97	241	2219
98	242	2202
99	242	2185
100	243	2169
101	244	2156
102	245	2141
103	247	2132
104	248	2117
105	249	2103
106	250	2088
107	251	2073
108	251	2057
109	252	2041
110	253	2026
111	253	2013
112	254	1999
113	255	1985
114	256	1970
115	257	1959
116	257	1944
117	258	1931
118	259	1921
119	260	1911
120	261	1900
121	262	1888
122	263	1880
123	264	1870
124	265	1859
125	266	1848
126	267	1836
127	268	1826
128	268	1815
129	269	1804
130	270	1792
131	270	1781
132	271	1771
133	272	1761
134	273	1751
135	274	1741
136	275	1733
137	276	1725
138	277	1716
139	277	1707
140	278	1698
141	279	1689
142	280	1680
143	281	1672
144	282	1663
145	283	1656
146	283	1646
147	284	1637
148	285	1629
149	285	1620
150	286	1612
151	287	1603
152	288	1595
153	289	1592
154	290	1585
155	291	1577
156	292	1570
157	293	1563
158	293	1554
159	294	1548
160	295	1540
161	296	1534
162	297	1526
163	298	1520
164	299	1513
165	299	1506
166	300	1499
167	301	1492
168	302	1486
169	303	1479
170	303	1473
171	305	1471
172	306	1465
173	307	1459
174	308	1453
175	309	1447
176	310	1442
177	311	1437
178	312	1431
179	312	1425
180	313	1419
181	314	1413
182	316	1410
183	316	1405
184	317	1399
185	318	1394
186	319	1388
187	320	1383
188	322	1383
189	323	1377
190	324	1372
191	325	1368
192	326	1363
193	327	1358
194	327	1353
195	328	1348
196	329	1342
197	330	1336
198	330	1331
199	331	1326
200	332	1321
201	333	1316
202	333	1311
203	334	1306
204	335	1301
205	337	1299
206	338	1295
207	339	1291
208	339	1286
209	340	1282
210	341	1277
211	342	1272
212	343	1268
213	343	1263
214	344	1259
215	345	1254
216	346	1249
217	347	1248
218	348	1242
219	349	1237
220	349	1233
221	351	1230
222	352	1227
223	352	1222
224	353	1218
225	354	1214
226	355	1210
227	356	1206
228	357	1202
229	357	1197
230	358	1193
231	359	1189
232	359	1184
233	360	1181
234	361	1177
235	362	1172
236	363	1169
237	363	1165
238	364	1161
239	365	1157
240	367	1156
241	368	1152
242	368	1149
243	369	1145
244	370	1141
245	371	1137
246	371	1133
247	372	1129
248	373	1126
249	374	1122
250	375	1119
251	375	1115
252	376	1111
253	377	1107
254	377	1104
255	378	1100
256	379	1096
257	380	1093
258	381	1090
259	382	1087
260	383	1086
261	384	1083
262	385	1080
263	386	1077
264	387	1074
265	388	1071
266	389	1068
267	390	1065
268	391	1062
269	392	1059
270	393	1058
271	394	1055
272	396	1055
273	397	1052
274	398	1049
275	399	1046
276	400	1044
277	400	1040
278	401	1037
279	402	1033
280	402	1030
281	403	1026
282	403	1023
283	404	1019
284	405	1016
285	405	1012
286	406	1009
287	406	1006
288	407	1002
289	408	999
290	409	996
291	409	993
292	410	991
293	412	991
294	413	988
295	414	986
296	415	983
297	416	982
298	417	979
299	418	976
300	419	973
301	419	970
302	421	968
303	421	965
304	422	962
305	423	960
306	424	957
307	424	954
308	425	951
309	426	948
310	427	946
311	428	943
312	428	940
313	429	938
314	430	935
315	431	933
316	432	932
317	433	929
318	434	926
319	434	924
320	435	921
321	436	918
322	436	915
323	437	912
324	438	911
325	439	908
326	440	906
327	441	904
328	442	902
329	443	899
330	443	896
331	444	894
332	445	893
333	446	890
334	447	888
335	447	885
336	448	882
337	449	880
338	450	877
339	450	874
340	451	872
341	452	869
342	452	866
343	453	864
344	453	861
345	454	859
346	455	856
347	455	854
348	456	851
349	457	849
350	458	847
351	459	845
352	460	844
353	461	842
354	462	840
355	463	837
356	463	835
357	465	834
358	465	831
359	466	829
360	467	827
361	468	825
362	468	822
363	469	820
364	470	818
365	471	815
366	471	813
367	473	812
368	474	810
369	475	809
370	476	807
371	477	805
372	478	803
373	479	801
374	480	800
375	480	798
376	481	796
377	482	793
378	483	791
379	484	790
380	485	788
381	487	788
382	488	787
383	489	785
384	490	783
385	491	781
386	491	779
387	492	777
388	493	775
389	494	773
390	495	771
391	495	769
392	496	767
393	497	765
394	498	762
395	498	760
396	499	758
397	500	757
398	501	754
399	503	754
400	504	753
401	505	751
402	506	750
403	507	748
404	508	747
405	509	745
406	510	743
407	511	741
408	512	740
409	513	738
410	514	736
411	515	735
412	516	733
413	517	733
414	518	731
415	519	729
416	520	728
417	521	726
418	522	724
419	523	722
420	524	721
421	525	719
422	526	718
423	528	717
424	529	716
425	530	714
426	532	714
427	533	713
428	534	711
429	535	710
430	536	708
431	537	707
432	539	705
433	540	704
434	541	702
435	542	701
436	543	699
437	544	698
438	545	696
439	546	695
440	547	693
441	548	692
442	549	691
443	550	689
444	552	688
445	553	687
446	553	685
447	554	683
448	556	682
449	556	680
450	558	679
451	558	677
452	559	675
453	560	674
454	561	672
455	562	671
456	563	670
457	565	668
458	566	667
459	567	665
460	567	663
461	568	662
462	569	660
463	571	659
464	572	658
465	573	656
466	574	655
467	575	654
468	576	652
469	577	651
470	578	649
471	579	648
472	581	647
473	582	645
474	583	644
475	584	642
476	585	641
477	585	639
478	586	638
479	588	637
480	589	636
481	590	634
482	591	633
483	592	632
484	593	630
485	594	629
486	595	627
487	596	626
488	597	624
489	599	623
490	600	622
491	600	620
492	601	618
493	602	617
494	603	615
495	604	614
496	605	612
497	605	610
498	606	609
499	608	608
500	609	606
501	610	605
502	611	603
503	611	602
504	613	601
505	614	599
506	615	598
507	616	596
508	617	595
509	618	593
510	618	592
511	619	590
512	620	589
513	621	587
514	622	586
515	624	585
516	625	584
517	626	583
518	627	581
519	628	580
520	629	578
521	630	577
522	631	575
523	632	574
524	633	572
525	634	571
526	634	569
527	635	568
528	636	566
529	638	566
530	639	564
531	640	563
532	641	561
533	642	560
534	643	559
535	644	557
536	646	557
537	646	555
538	647	554
539	648	552
540	649	551
541	650	549
542	651	548
543	652	547
544	654	546
545	655	544
546	656	543
547	657	541
548	657	540
549	658	539
550	659	537
551	660	536
552	661	534
553	662	533
554	662	531
555	663	530
556	664	528
557	665	527
558	666	525
559	667	524
560	668	523
561	669	522
562	670	520
563	671	519
564	672	517
565	673	516
566	674	515
567	675	513
568	675	511
569	676	510
570	677	508
571	678	507
572	678	505
573	679	504
574	680	502
575	681	501
576	681	499
577	683	498
578	684	497
579	685	496
580	686	495
581	687	493
582	688	492
583	688	490
584	689	489
585	690	487
586	691	486
587	692	485
588	693	483
589	693	482
590	694	480
591	695	479
592	696	478
593	697	476
594	698	475
595	699	474
596	700	472
597	701	471
598	702	470
599	703	468
600	703	467
601	704	465
602	705	464
603	706	463
604	707	461
605	708	460
606	709	459
607	710	458
608	711	457
609	713	456
610	714	454
611	715	453
612	716	452
613	717	451
614	718	449
615	719	448
616	720	447
617	721	446
618	722	444
619	723	443
620	724	442
621	725	440
622	726	439
623	727	438
624	728	437
625	729	435
626	730	434
627	731	433
628	732	431
629	733	430
630	734	429
631	735	428
632	736	426
633	737	425
634	738	424
635	739	423
636	740	421
637	741	420
638	742	419
639	743	418
640	745	417
641	745	415
642	746	414
643	747	413
644	748	412
645	749	410
646	750	409
647	751	408
648	752	406
649	753	405
650	754	404
651	755	403
652	757	402
653	758	401
654	759	400
655	760	398
656	761	397
657	762	396
658	763	395
659	764	393
660	765	392
661	765	390
662	766	389
663	767	388
664	767	386
665	768	385
666	769	384
667	770	382
668	770	381
669	772	380
670	773	379
671	773	377
672	774	376
673	775	375
674	776	373
675	776	372
676	777	371
677	778	369
678	779	368
679	779	367
680	780	365
681	781	364
682	782	363
683	783	361
684	783	360
685	784	359
686	785	357
687	786	356
688	787	355
689	788	354
690	788	352
691	789	351
692	790	350
693	791	348
694	791	347
695	792	346
696	793	345
697	794	343
698	795	342
699	795	341
700	796	339
701	797	338
702	798	337
703	799	335
704	799	334
705	800	333
706	801	332
707	802	331
708	803	329
709	804	328
710	805	327
711	806	326
712	807	325
713	808	323
714	809	322
715	810	321
716	811	320
717	811	318
718	813	317
719	814	316
720	814	315
721	816	314
722	817	313
723	817	311
724	819	310
725	820	309
726	821	308
727	821	307
728	822	305
729	823	304
730	823	303
731	824	301
732	825	300
733	826	299
734	827	298
735	828	297
736	828	295
737	829	294
738	830	293
739	831	292
740	831	290
741	832	289
742	833	288
743	834	286
744	834	285
745	835	284
746	836	283
747	837	281
748	837	280
749	838	279
750	839	278
751	840	277
752	841	276
753	842	274
754	842	273
755	843	272
756	844	270
757	844	269
758	845	268
759	846	267
760	847	266
761	848	264
762	848	263
763	849	262
764	850	261
765	850	259
766	851	258
767	852	257
768	852	256
769	853	255
770	854	253
771	855	252
772	855	251
773	856	250
774	857	248
775	857	247
776	858	246
777	859	245
778	859	243
779	860	242
780	861	241
781	863	240
782	863	239
783	864	238
784	865	237
785	866	235
786	867	234
787	868	233
788	868	232
789	869	231
790	870	229
791	871	228
792	872	227
793	873	226
794	874	225
795	874	224
796	875	222
797	876	221
798	877	220
799	878	219
800	879	218
801	880	217
802	881	216
803	882	215
804	883	213
805	884	212
806	885	211
807	886	210
808	886	209
809	887	208
810	888	207
811	889	205
812	890	204
813	891	203
814	893	202
815	894	201
816	895	200
817	896	199
818	897	198
819	898	197
820	899	196
821	900	195
822	901	193
823	902	192
824	903	191
825	904	190
826	905	189
827	907	188
828	908	187
829	909	186
830	910	185
831	911	184
832	912	183
833	914	181
834	915	180
835	916	179
836	917	178
837	918	177
838	919	176
839	920	175
840	921	174
841	924	173
842	926	172
843	927	171
844	928	170
845	929	169
846	931	168
847	931	167
848	932	165
849	933	164
850	934	163
851	935	162
852	935	161
853	937	160
854	938	159
855	939	157
856	940	156
857	941	155
858	943	154
859	945	153
860	946	152
861	947	151
862	948	150
863	949	149
864	950	148
865	951	147
866	952	146
867	953	144
868	954	143
869	956	142
870	957	141
871	958	140
872	959	139
873	960	138
874	961	137
875	962	136
876	963	135
877	964	134
878	965	132
879	967	131
880	968	130
881	969	129
882	972	128
883	973	127
884	974	126
885	975	125
886	976	124
887	977	123
888	978	122
889	979	121
